Date,Rate
1/1/2011,0.2606
2/1/2011,0.2629
3/1/2011,0.2533
4/1/2011,0.2214
5/1/2011,0.1978
6/1/2011,0.1872
7/1/2011,0.1866
8/1/2011,0.2112
9/1/2011,0.2309
10/1/2011,0.2437
11/1/2011,0.2537
12/1/2011,0.2836
1/1/2012,0.2829
2/1/2012,0.25
3/1/2012,0.2406
4/1/2012,0.2398
5/1/2012,0.2389
6/1/2012,0.2432
7/1/2012,0.2465
8/1/2012,0.2377
9/1/2012,0.2213
10/1/2012,0.2135
11/1/2012,0.2089
12/1/2012,0.2108
1/1/2013,0.2051
2/1/2013,0.2013
3/1/2013,0.2035
4/1/2013,0.1997
5/1/2013,0.1966
6/1/2013,0.1932
7/1/2013,0.1911
8/1/2013,0.1841
9/1/2013,0.1806
10/1/2013,0.1724
11/1/2013,0.1673
12/1/2013,0.1672
1/1/2014,0.1601
2/1/2014,0.1551
3/1/2014,0.1549
4/1/2014,0.1517
5/1/2014,0.1504
6/1/2014,0.1524
7/1/2014,0.1544
8/1/2014,0.156
9/1/2014,0.1541
10/1/2014,0.1535
11/1/2014,0.1548
12/1/2014,0.1635
1/1/2015,0.1682
2/1/2015,0.1721
3/1/2015,0.1756
4/1/2015,0.1807
5/1/2015,0.1842
6/1/2015,0.1859
7/1/2015,0.1882
8/1/2015,0.1968
9/1/2015,0.2011
10/1/2015,0.1945
11/1/2015,0.2084
12/1/2015,0.3584
1/1/2016,0.4255
2/1/2016,0.4313
3/1/2016,0.4363
4/1/2016,0.4374
5/1/2016,0.4426
6/1/2016,0.4527
7/1/2016,0.4829
8/1/2016,0.5128
9/1/2016,0.527
10/1/2016,0.5308
11/1/2016,0.5631
12/1/2016,0.7164
1/1/2017,0.7714
2/1/2017,0.7767
3/1/2017,0.9286
4/1/2017,0.9909
5/1/2017,1.0122
6/1/2017,1.1714
7/1/2017,1.228
8/1/2017,1.2319
9/1/2017,1.2349
10/1/2017,1.2385
11/1/2017,1.2879
12/1/2017,1.4925
1/1/2018,1.5612
2/1/2018,1.6018
3/1/2018,1.8029
4/1/2018,1.8961
5/1/2018,1.9468
6/1/2018,2.0684
7/1/2018,2.079
8/1/2018,2.0741
9/1/2018,2.1755
10/1/2018,2.2857
11/1/2018,2.3193
12/1/2018,2.4582
1/1/2019,2.5095
2/1/2019,2.4945
3/1/2019,2.4898
4/1/2019,2.4802
5/1/2019,2.4451
6/1/2019,2.4034
7/1/2019,2.3061
8/1/2019,2.1729
9/1/2019,2.0432
10/1/2019,1.8782
11/1/2019,1.7354
12/1/2019,1.7543
1/1/2020,1.6708
2/1/2020,1.6367
3/1/2020,0.9172
4/1/2020,0.6957
5/1/2020,0.1939
6/1/2020,0.18301
7/1/2020,0.1725
8/1/2020,0.16192
9/1/2020,0.1518
10/1/2020,0.14608
11/1/2020,0.14219
12/1/2020,0.14889
